City,Zip Code,Lat,Long,Year,Month,kW
Bennington,05201,42.86358,-73.17945,2016,6,3.6
Bennington,05201,42.8754,-73.16686,2016,4,3.6
Bennington,05201,42.900522,-73.211942,2019,6,3.8
Bennington,05201,42.841192,-73.171072,2017,12,3.8
Bennington,05201,42.87894,-73.25306,2017,1,4.2
Bennington,05201,42.874644,-73.199142,2016,12,4.2
Bennington,05201,42.87453,-73.19828,2016,10,4.2
Bennington,05201,42.88049,-73.1575,2016,10,4.2
Bennington,05201,42.91166475,-73.201936130000007,2016,8,4.2
Bennington,05201,42.88293,-73.1875,2016,8,4.2
Bennington,05201,42.89867,-73.20819,2016,3,4.2
Bennington,05201,42.844825,-73.164941,2014,4,4.28
Bennington,05201,42.88779,-73.2507,2014,10,4.3
Bennington,05201,42.91503,-73.18747,2013,5,4.8
Bennington,05201,42.88084,-73.17935,2018,10,5
Bennington,05201,42.88187083,-73.16823217,2018,9,5
Bennington,05201,42.85598,-73.186,2018,3,5
Bennington,05201,42.8838,-73.1929,2016,9,5
Bennington,05201,42.91922,-73.19649,2016,8,5
Bennington,05201,42.876221,-73.167159,2016,7,5
Bennington,05201,42.87988,-73.16018,2016,6,5
Bennington,05201,42.8847,-73.19664,2016,6,5
Bennington,05201,42.89359,-73.1895,2016,5,5
Bennington,05201,42.86952,-73.15161,2013,9,5
Bennington,05201,42.86223,-73.17994,2003,6,5
Bennington,05201,42.87533,-73.22004,2017,4,5.2
Bennington,05201,42.87277,-73.20013,2017,4,5.2
Bennington,05201,42.91099,-73.1906,2017,3,5.2
Bennington,05201,42.85045,-73.1933,2017,3,5.2
Bennington,05201,42.88588,-73.2484,2013,4,5.3
Bennington,05201,42.9004,-73.2091,2015,5,5.5
Bennington,05201,42.91828,-73.19139,2014,6,5.5
Bennington,05201,42.84545,-73.174,2013,6,5.59
Bennington,05201,42.91930133,-73.18427033,2013,9,5.7
Bennington,05201,42.84045,-73.17186,2013,7,5.8
Bennington,05201,42.87504733,-73.27526483,2014,6,5.81
Bennington,05201,42.8792,-73.25455,2013,3,5.9
Bennington,05201,42.85201,-73.18749,2018,1,6
Bennington,05201,42.87902,-73.22192,2017,4,6
Bennington,05201,42.829018,-73.167584,2016,11,6
Bennington,05201,42.871975,-73.191409,2016,9,6
Bennington,05201,42.89583,-73.18066,2016,8,6
Bennington,05201,42.871339999999996,-73.20295,2016,7,6
Bennington,05201,42.88215,-73.2068,2016,7,6
Bennington,05201,42.90698,-73.26784,2016,5,6
Bennington,05201,42.871888,-73.192569,2016,4,6
Bennington,05201,42.88353,-73.2289,2014,9,6
Bennington,05201,42.87816,-73.259864,2017,5,6.6
Bennington,05201,42.87806,-73.24605,2017,5,6.6
Bennington,05201,42.88706,-73.20476,2014,7,7
Bennington,05201,42.88216,-73.18746,2014,11,7.1
Bennington,05201,42.86863417,-73.20477767,2016,10,7.2
Bennington,05201,42.92712,-73.17852,2016,12,7.5
Bennington,05201,42.87739,-73.2037,2016,10,7.5
Bennington,05201,42.90204,-73.24528,2014,7,7.5
Bennington,05201,42.91353,-73.20355,2019,6,7.6
Bennington,05201,42.9048665,-73.26308317,2018,11,7.6
Bennington,05201,42.84123,-73.16063,2017,1,7.6
Bennington,05201,42.87823,-73.1682,2016,11,7.6
Bennington,05201,42.87906,-73.20181,2016,11,7.6
Bennington,05201,42.91483,-73.22585,2016,10,7.6
Bennington,05201,42.85213,-73.20727,2016,9,7.6
Bennington,05201,42.91893,-73.1881,2016,7,7.6
Bennington,05201,42.87554,-73.16517,2016,5,7.6
Bennington,05201,42.91545,-73.18783,2013,9,7.6
Bennington,05201,42.91249573,-73.23435988,2019,4,7.6
Bennington,05201,42.920992,-73.189465,2014,11,7.84
Bennington,05201,42.89062,-73.2221,2016,12,8
Bennington,05201,42.88027,-73.1591,2016,8,8.2
Bennington,05201,42.91618067,-73.22640533,2016,8,8.2
Bennington,05201,42.871663,-73.178024,2016,7,8.2
Bennington,05201,42.868247,-73.199935,2016,11,8.25
Bennington,05201,42.90772,-73.19577,2018,5,9
Bennington,05201,42.91316,-73.2056,2017,9,9
Bennington,05201,42.87409,-73.2422,2015,12,9
Bennington,05201,42.92484,-73.18488,2019,1,10
Bennington,05201,42.90649,-73.19103,2018,7,10
Bennington,05201,42.88372,-73.20432,2016,12,10
